food,,,,,,calories,protein,fat,carbs,vata,pitta,kapha,madhra,amla,lavana,katu,titka,kashaya,usna,sitta,madhura,amla.1,katu.1,guru,laghu,snigdha,ruksha,time,vscore,pscore,kscore,label,Diabetes,hypertension
 sweet potato with pumpkin spice and mustard seeds,,,,,,17.4,9.6,2.5,46.1,-1,-1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,1,-2,kapha,1,1
 beets & greens with coconut,,,,,,204.31,21.85,17.8,45.13,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,-1,1,pitta,1,1
 whole grain pasta,,,,,,66.3,3.2,1,45,1,1,-1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,-4,0,2,vata,1,1
 brown pasta,,,,,,2.68,8.85,2.68,45,1,-1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,3,4,1,-4,kapha,1,1
 cream of wheat porridge,,,,,,288.27,4.06,11.8,42.04,-1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,2,-4,1,pitta,1,1
 basmati rice,,,,,,183,5.3,3.5,41.4,1,1,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,-2,-2,4,pitta,1,1
 red lentils,,,,,,35,6,0.4,41,-1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,-1,-2,kapha,1,1
 tur dal,,,,,,28.4,4.6,1,39.2,-1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,4,-2,-2,kapha,1,1
 zucchini,,,,,,180.5,41.6,2.9,39.1,1,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,3,2,-4,kapha,1,1
 avocado fried rice,,,,,,207.17,4.33,3.8,38.79,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,-1,-1,-1,kapha,1,1
 broccoli,,,,,,164,3,1,38,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,-1,-1,-1,kapha,1,1
 okra,,,,,,262,5,11,38,1,1,-1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,-1,-1,3,pitta,1,1
 rice cakes,,,,,,599.9,4.5,40.95,37.75,1,1,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,-2,1,pitta,1,1
 white chicken,,,,,,315.7,21.5,0.4,37.1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,4,1,-2,kapha,1,1
 white turkey,,,,,,203.84,4.04,3.99,36.92,1,1,-1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,2,0,-2,3,pitta,1,1
